"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C2,C3";"0603C";2;"100n";;;
2;"FD1";"FIDUCIAL_23";1;"FIDUCIAL";;;
3;",,,,,,,,,";"buzzardLabel";10;"";;;
4;"R1";"0603R";1;"10k";;;
5;"U2";"TXB0104QPWRQ1";1;"TXB0104QPWRQ1";;;
6;"C4,C5";"0603C";2;"2.2uF";;;
7;"K1";"HYC77-TF09-200";1;"HYC77-TF09-200";;;
8;"JP1";"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";1;"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";;;
9;"REF**";"Logo-Back-SolderedFULL-17mm";1;"Logo-Front-SolderedFULL-17mm";;;
10;"H1,H2";"HOLE_3.2mm";2;"HOLE_3.2mm";;;
11;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
12;"G***";"Logo-Front-Soldered-6mm";1;"LOGO";;;
13;"C1";"0603C";1;"2u2";;;
14;"C6,C7";"0603C";2;"0.1uF";;;
15;"U1";"SOT-23-5";1;"SE5218";;;
16;"JP2";"SMD_JUMPER";1;"SMD_JUMPER";;;
17;"K2";"HEADER_MALE_6X1";1;"HEADER_MALE_6X1";;;
18;"Ref**";"Version1.0.0.";1;"Val**";;;
